index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge
895,1932,CINEMATOGRAPHY,Ray June,Arrowsmith,False,nm0432482,1895,1958,"cinematographer,miscellaneous",37,False,2021,0
896,1936,CINEMATOGRAPHY,Ray June,Barbary Coast,False,nm0432482,1895,1958,"cinematographer,miscellaneous",41,False,2021,0
897,1958,CINEMATOGRAPHY,Ray June,Funny Face,False,nm0432482,1895,1958,"cinematographer,miscellaneous",63,False,2021,0
898,1932,WRITING (Adaptation),Sidney Howard,Arrowsmith,False,nm0397608,1891,1939,writer,41,False,2021,0
902,1937,WRITING (Screenplay),Sidney Howard,Dodsworth,False,nm0397608,1891,1939,writer,46,False,2021,0
906,1940,WRITING (Screenplay),Sidney Howard,Gone with the Wind,True,nm0397608,1891,1939,writer,49,False,2021,0
910,1932,WRITING (Original Story),Lucien Hubbard,The Star Witness,False,nm0399203,1888,1971,"producer,writer,director",44,False,2021,0
911,1933,ACTOR,Leslie Howard,Berkeley Square,False,nm0001366,1893,1943,"actor,producer,soundtrack",40,False,2021,0
921,1939,ACTOR,Leslie Howard,Pygmalion,False,nm0001366,1893,1943,"actor,producer,soundtrack",46,False,2021,0
931,1933,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,nm0001452,1899,1962,"actor,soundtrack,writer",34,False,2021,0
932,1936,ACTOR,Charles Laughton,Mutiny on the Bounty,False,nm0001452,1899,1962,"actor,soundtrack,writer",37,False,2021,0
933,1958,ACTOR,Charles Laughton,Witness for the Prosecution,False,nm0001452,1899,1962,"actor,soundtrack,writer",59,False,2021,0
934,1933,ACTRESS,Katharine Hepburn,Morning Glory,True,nm0000031,1907,2003,"actress,soundtrack,writer",26,False,2021,0
935,1936,ACTRESS,Katharine Hepburn,Alice Adams,False,nm0000031,1907,2003,"actress,soundtrack,writer",29,False,2021,0
